date,time,age,confirmed,deceased
4/27/2020,0,60s,1347,35
4/27/2020,0,70s,708,72
4/27/2020,0,80s,485,116
4/28/2020,0,0s,140,0
4/28/2020,0,10s,590,0
4/28/2020,0,20s,2948,0
4/28/2020,0,30s,1154,2
4/28/2020,0,40s,1423,3
4/28/2020,0,50s,1955,15
4/28/2020,0,60s,1348,35
4/28/2020,0,70s,709,73
4/28/2020,0,80s,485,116
4/29/2020,0,0s,140,0
4/29/2020,0,10s,590,0
4/29/2020,0,20s,2951,0
4/29/2020,0,30s,1156,2
4/29/2020,0,40s,1426,3
4/29/2020,0,50s,1956,15
4/29/2020,0,60s,1348,35
4/29/2020,0,70s,709,73
4/29/2020,0,80s,485,118
4/30/2020,0,0s,140,0
4/30/2020,0,10s,590,0
4/30/2020,0,20s,2952,0
4/30/2020,0,30s,1158,2
4/30/2020,0,40s,1427,3
4/30/2020,0,50s,1956,15
4/30/2020,0,60s,1348,35
4/30/2020,0,70s,709,74
4/30/2020,0,80s,485,118
5/1/2020,0,0s,140,0
5/1/2020,0,10s,590,0
5/1/2020,0,20s,2957,0
5/1/2020,0,30s,1159,2
5/1/2020,0,40s,1429,3
5/1/2020,0,50s,1956,15
5/1/2020,0,60s,1348,35
5/1/2020,0,70s,709,75
5/1/2020,0,80s,486,118
5/2/2020,0,0s,140,0
5/2/2020,0,10s,590,0
5/2/2020,0,20s,2960,0
5/2/2020,0,30s,1160,2
5/2/2020,0,40s,1430,3
5/2/2020,0,50s,1956,15
5/2/2020,0,60s,1349,35
5/2/2020,0,70s,709,75
5/2/2020,0,80s,486,120
5/3/2020,0,0s,140,0
5/3/2020,0,10s,591,0
5/3/2020,0,20s,2962,0
5/3/2020,0,30s,1163,2
5/3/2020,0,40s,1432,3
5/3/2020,0,50s,1956,15
5/3/2020,0,60s,1351,35
5/3/2020,0,70s,710,75
5/3/2020,0,80s,488,120
5/4/2020,0,0s,140,0
5/4/2020,0,10s,591,0
5/4/2020,0,20s,2964,0
5/4/2020,0,30s,1164,2
5/4/2020,0,40s,1435,3
5/4/2020,0,50s,1956,15
5/4/2020,0,60s,1353,36
5/4/2020,0,70s,710,76
5/4/2020,0,80s,488,120
5/5/2020,0,0s,140,0
5/5/2020,0,10s,591,0
5/5/2020,0,20s,2964,0
5/5/2020,0,30s,1165,2
5/5/2020,0,40s,1436,3
5/5/2020,0,50s,1957,15
5/5/2020,0,60s,1353,36
5/5/2020,0,70s,710,76
5/5/2020,0,80s,488,122
5/6/2020,0,0s,140,0
5/6/2020,0,10s,591,0
5/6/2020,0,20s,2964,0
5/6/2020,0,30s,1166,2
5/6/2020,0,40s,1436,3
5/6/2020,0,50s,1957,15
5/6/2020,0,60s,1354,36
5/6/2020,0,70s,710,77
5/6/2020,0,80s,488,122
5/7/2020,0,0s,140,0
5/7/2020,0,10s,592,0
5/7/2020,0,20s,2966,0
5/7/2020,0,30s,1167,2
5/7/2020,0,40s,1436,3
5/7/2020,0,50s,1957,15
5/7/2020,0,60s,1354,37
5/7/2020,0,70s,710,77
5/7/2020,0,80s,488,122
5/8/2020,0,0s,141,0
5/8/2020,0,10s,592,0
5/8/2020,0,20s,2967,0
5/8/2020,0,30s,1174,2
5/8/2020,0,40s,1438,3
5/8/2020,0,50s,1957,15
5/8/2020,0,60s,1355,37
5/8/2020,0,70s,710,77
5/8/2020,0,80s,488,122
5/9/2020,0,0s,141,0
5/9/2020,0,10s,594,0
5/9/2020,0,20s,2979,0
5/9/2020,0,30s,1177,2
5/9/2020,0,40s,1438,3
5/9/2020,0,50s,1958,15
5/9/2020,0,60s,1355,37
5/9/2020,0,70s,710,77
5/9/2020,0,80s,488,122
5/10/2020,0,0s,141,0
5/10/2020,0,10s,597,0
5/10/2020,0,20s,2998,0
5/10/2020,0,30s,1180,2
5/10/2020,0,40s,1442,3
5/10/2020,0,50s,1960,15
5/10/2020,0,60s,1357,37
5/10/2020,0,70s,711,77
5/10/2020,0,80s,488,122
5/11/2020,0,0s,141,0
5/11/2020,0,10s,598,0
5/11/2020,0,20s,3019,0
5/11/2020,0,30s,1188,2
5/11/2020,0,40s,1446,3
5/11/2020,0,50s,1960,15
5/11/2020,0,60s,1358,37
5/11/2020,0,70s,711,77
5/11/2020,0,80s,488,122
5/12/2020,0,0s,142,0
5/12/2020,0,10s,602,0
5/12/2020,0,20s,3029,0
5/12/2020,0,30s,1194,2
5/12/2020,0,40s,1448,3
5/12/2020,0,50s,1963,15
5/12/2020,0,60s,1358,37
5/12/2020,0,70s,711,77
5/12/2020,0,80s,489,124
5/13/2020,0,0s,143,0
5/13/2020,0,10s,603,0
5/13/2020,0,20s,3042,0
5/13/2020,0,30s,1199,2
5/13/2020,0,40s,1450,3
5/13/2020,0,50s,1964,15
5/13/2020,0,60s,1359,37
5/13/2020,0,70s,712,77
5/13/2020,0,80s,490,125
5/14/2020,0,0s,143,0
5/14/2020,0,10s,614,0
5/14/2020,0,20s,3056,0
5/14/2020,0,30s,1202,2
5/14/2020,0,40s,1451,3
5/14/2020,0,50s,1964,15
5/14/2020,0,60s,1359,38
5/14/2020,0,70s,712,77
5/14/2020,0,80s,490,125
5/15/2020,0,0s,145,0
5/15/2020,0,10s,617,0
5/15/2020,0,20s,3066,0
5/15/2020,0,30s,1207,2
5/15/2020,0,40s,1453,3
